Peak Method: Gauss
File Time(Hrs) PeakHeight_E2_30Hz PeakLocation_E2_30Hz PeakHeight_E2_100Hz PeakLocation_E2_100Hz Norm_E2_30Hz Norm_E2_100Hz NormalizedRatio_E2 KDM_E2
89 0.001 0.6281360983878017 -0.2991805720062629 1.8419605411029234 -0.30001337768950076 0.4712189774248934 0.7718855822135794 1.6380613243374915 1.48373502044933
90 0.001 0.623876413114182 -0.299131397413682 1.831444796034542 -0.29997357438018046 0.46802342069134656 0.7674788906350198 1.639830095471139 1.4847509667904943
91 0.001 0.6199009238738407 -0.29910770670203946 1.8200518591967105 -0.299934346894508 0.4650410638750364 0.7627046061224285 1.6400801248970538 1.4848944688161787
92 0.001 0.6155355047824632 -0.29907893699032634 1.8087494619617135 -0.2999084930485289 0.46176618709984435 0.7579682628211106 1.6414546668771584 1.485682888993521
93 0.001 0.6116388678507556 -0.29904486697384325 1.7976273973838828 -0.2998282578109499 0.4588429841903664 0.7533074890963187 1.641754401945446 1.4858547043380292
94 0.001 0.6072190581653885 -0.29897096170534937 1.7861109376560929 -0.2998225728027879 0.45552730434694255 0.7484814415107925 1.6431099395542001 1.4866312444518825
95 0.001 0.6030723243380313 -0.2989776281367695 1.7746447204594573 -0.29984708618063505 0.45241648221970654 0.7436764483857428 1.6437872571242707 1.4870189576634378
96 0.001 0.5993489878762178 -0.2989799930887732 1.7622871434754628 -0.29978673447903803 0.4496232869159376 0.7384979251263204 1.6424814875400156 1.486271325320145
97 0.001 0.5955009347989414 -0.2989341226487837 1.7501565087372681 -0.2997761898910168 0.4467365309393189 0.733414503495635 1.6417159840354674 1.4858326844471648
98 0.001 0.5915290593067759 -0.2989183471796329 1.7383700067099055 -0.29975827532426663 0.4437568851067024 0.7284752929226415 1.6416089921567703 1.4857713568221327
99 0.001 0.5879431869492433 -0.2988894367689117 1.7256770809943989 -0.29972593388381374 0.4410668134648566 0.7231562395893703 1.6395616661986518 1.484596874086077
100 0.0 0.584339117988224 -0.2988965011394487 1.7133165430177026 -0.2997405045918912 0.4383630909837904 0.7179764755066379 1.6378579544535308 1.4836181215721844
101 0.0 0.5803437574948668 -0.29890479572031 1.7002307797465193 -0.2997621740214335 0.4353658270294407 0.7124928010326785 1.6365381865042377 1.4828590685790277
102 0.0 0.5766556793261561 -0.2989064961115515 1.6870346016460671 -0.29980438946015653 0.43259908200748853 0.7069628565041369 1.6342218139332505 1.4815249881985233
103 0.0 0.5732067613168239 -0.2989804369095262 1.6743746502995034 -0.2998380444624771 0.43001175161563376 0.7016576212953053 1.6317173162339116 1.4800799176546235
104 0.0 0.5695957722677214 -0.29900745422733016 1.6619977489739859 -0.299851044572247 0.4273028377805941 0.6964710000444903 1.6299236477388084 1.4790432971545868
105 0.0 0.5661663857485935 -0.2990092892942868 1.6497536528765253 -0.29985539771707714 0.42473015964143623 0.6913400316909509 1.6277158944271601 1.4777654203473178
106 0.0 0.562869845551229 -0.2990042940137755 1.6369792197396453 -0.29987864370596334 0.422257140967889 0.6859868221409761 1.6245712756179123 1.4759415615191225
107 0.0 0.5590529226818913 -0.29902526817638697 1.6248328115410495 -0.29983204099512006 0.41939373844092814 0.680896790538799 1.6235263622914193 1.4753345506670068
108 0.0 0.5560104684519782 -0.29897406333850246 1.612219028670649 -0.2997857941006111 0.41711133153140423 0.6756109025311196 1.6197375891243389 1.473129516251656
109 0.0 0.5522407807213842 -0.2989707633284306 1.6014914983639053 -0.2997736973930524 0.4142833641495248 0.6711154609666783 1.61994306081877 1.4732492626194928
110 0.0 0.5489481994052988 -0.2989135276575724 1.5904931168068166 -0.29973299860733765 0.41181331537373206 0.666506517418671 1.6184676224317753 1.4723889782967057
111 0.0 0.5458041298552504 -0.29888008583831893 1.578277241723997 -0.2997208083758451 0.4094546780622813 0.6613873752654387 1.6152883596187326 1.4705319452486165
112 0.0 0.5423983726490963 -0.2989167041353501 1.5658750857140686 -0.2998178207301485 0.4068997263055514 0.6561901708743527 1.612658177070394 1.468992218306472
113 0.0 0.5392032229709338 -0.2989978468593481 1.554227709294986 -0.2998679671859657 0.40450276939139285 0.6513092617952032 1.6101478434255239 1.467519757520535
114 0.0 0.5360603754093964 -0.2990427327195589 1.5417017446153303 -0.29993945601431166 0.40214504879875207 0.6460601745733057 1.606535195455353 1.4653957456725561
115 0.0 0.5332793571834966 -0.2991166433126567 1.5300319571502445 -0.29997741822733587 0.4000587675486026 0.6411698739991127 1.602689219706247 1.4631280716445043
116 0.0 0.5297877881086557 -0.2991684673697231 1.5178692294293354 -0.2999858772954032 0.39743944091974337 0.6360730035946373 1.600427481788558 1.4617913677604943
117 0.0 0.5267053690762659 -0.2991552677486255 1.5065796038942327 -0.2999657329837832 0.3951270529704346 0.6313420123574861 1.5978202646750344 1.4602475951120635
118 0.0 0.5237392891248988 -0.29914121603102173 1.4939315535937756 -0.2999257525310257 0.3929019409839861 0.6260417643596711 1.593379159165791 1.4576108025458665
119 0.0 0.5208657382011777 -0.2990972993912484 1.482342527722872 -0.2999018430871672 0.3907462429890299 0.6211853074584313 1.5897409600323935 1.4554439761612425
120 0.0 0.5175986751126211 -0.2990084045411313 1.4704863141421816 -0.2997959242953915 0.3882953376331308 0.6162168838041983 1.5869798683661052 1.4537954667090875
121 0.0 0.5149254184950364 -0.29899181025155125 1.4603608192605189 -0.2997654965186618 0.3862898976449407 0.6119737291124843 1.5842343608866039 1.4521527689045692
122 0.0 0.5117466732259425 -0.29894479247933325 1.4478442154622613 -0.29978266629259687 0.38390524709064017 0.6067285646290097 1.5804122741926496 1.4498601095627226
123 0.0 0.508840458740973 -0.2989414544625422 1.4366462410110457 -0.2997444220822298 0.38172504534566853 0.6020359803765186 1.5771456123119953 1.447895229167303
124 0.0 0.5061157544333439 -0.29889822790924975 1.4255666400575429 -0.299694912815447 0.3796810100149153 0.597393001310546 1.5734076383938143 1.4456407370825284
125 0.0 0.5031830949067205 -0.29889100264483687 1.4140337694462854 -0.2996604942185931 0.37748096956696503 0.5925600766372335 1.5697747023300297 1.443443311830731
126 0.0 0.5006333172760412 -0.29882595263415784 1.4020441928303222 -0.2996293164557294 0.375568161799869 0.5875357663329717 1.564391836404 1.440175973415542
127 0.0 0.49771706928574794 -0.2988057418859686 1.3905103391370655 -0.2995950793615431 0.37338043305854934 0.5827024296927334 1.5606131926076603 1.4378741734410472
128 0.0 0.4950396949491102 -0.298778197698886 1.3791851235501154 -0.29957337015893676 0.37137190401471276 0.5779565242121563 1.556274230667862 1.4352226564694726
129 0.0 0.49229122515846235 -0.2987507926339627 1.3676022743536904 -0.2996026633127259 0.36931004014865504 0.5731026556866551 1.5518198624006247 1.4324912353973922
